"date","total","influenza_a","influenza_b"
2014-08-05,0,0,0
2014-08-06,0,0,0
2014-08-07,0,0,0
2014-08-08,0,0,0
2014-08-09,0,0,0
2014-08-10,0,0,0
2014-08-11,0,0,0
2014-08-12,0,0,0
2014-08-13,0,0,0
2014-08-14,0,0,0
2014-08-15,0,0,0
2014-08-16,0,0,0
2014-08-17,0,0,0
2014-08-18,0,0,0
2014-08-19,0,0,0
2014-08-20,0,0,0
2014-08-21,0,0,0
2014-08-22,0,0,0
2014-08-23,0,0,0
2014-08-24,0,0,0
2014-08-25,0,0,0
2014-08-26,1,1,0
2014-08-27,0,0,0
2014-08-28,2,2,0
2014-08-29,0,0,0
2014-08-30,1,1,0
2014-08-31,0,0,0
2014-09-01,0,0,0
2014-09-02,0,0,0
2014-09-03,0,0,0
2014-09-04,0,0,0
2014-09-05,0,0,0
2014-09-06,0,0,0
2014-09-07,0,0,0
2014-09-08,0,0,0
2014-09-09,1,1,0
2014-09-10,0,0,0
2014-09-11,0,0,0
2014-09-12,2,2,0
2014-09-13,0,0,0
2014-09-14,1,1,0
2014-09-15,0,0,0
2014-09-16,1,1,0
2014-09-17,1,1,0
2014-09-18,0,0,0
2014-09-19,1,1,0
2014-09-20,0,0,0
2014-09-21,0,0,0
2014-09-22,0,0,0
2014-09-23,2,2,0
2014-09-24,0,0,0
2014-09-25,1,1,0
2014-09-26,0,0,0
2014-09-27,0,0,0
2014-09-28,0,0,0
2014-09-29,0,0,0
2014-09-30,1,1,0
2014-10-01,3,3,0
2014-10-02,1,0,1
2014-10-03,0,0,0
2014-10-04,2,2,0
2014-10-05,2,2,0
2014-10-06,1,1,0
2014-10-07,0,0,0
2014-10-08,1,1,0
2014-10-09,0,0,0
2014-10-10,3,2,1
2014-10-11,2,1,1
2014-10-12,1,0,1
2014-10-13,1,1,0
2014-10-14,2,2,0
2014-10-15,1,1,0
2014-10-16,0,0,0
2014-10-17,1,1,0
2014-10-18,1,1,0
2014-10-19,0,0,0
2014-10-20,1,1,0
2014-10-21,0,0,0
2014-10-22,0,0,0
2014-10-23,1,1,0
2014-10-24,2,2,0
2014-10-25,1,1,0
2014-10-26,0,0,0
2014-10-27,2,2,0
2014-10-28,3,3,0
2014-10-29,0,0,0
2014-10-30,2,2,0
2014-10-31,2,2,0
2014-11-01,1,1,0
2014-11-02,2,2,0
2014-11-03,3,3,0
2014-11-04,12,11,1
2014-11-05,8,7,1
2014-11-06,6,6,0
2014-11-07,10,10,0
2014-11-08,11,10,1
2014-11-09,1,1,0
2014-11-10,18,17,1
2014-11-11,9,8,1
2014-11-12,23,21,2
2014-11-13,10,10,0
2014-11-14,14,14,0
2014-11-15,15,14,1
2014-11-16,5,5,0
2014-11-17,56,55,1
2014-11-18,40,39,1
2014-11-19,33,31,2
2014-11-20,40,40,0
2014-11-21,67,67,0
2014-11-22,89,88,1
2014-11-23,26,26,0
2014-11-24,23,23,0
2014-11-25,107,106,1
2014-11-26,70,69,1
2014-11-27,62,60,2
2014-11-28,83,80,3
2014-11-29,88,85,3
2014-11-30,31,30,1
2014-12-01,183,181,2
2014-12-02,111,108,3
2014-12-03,110,107,3
2014-12-04,79,78,1
2014-12-05,129,129,0
2014-12-06,114,112,2
2014-12-07,70,70,0
2014-12-08,240,236,4
2014-12-09,157,155,2
2014-12-10,179,172,7
2014-12-11,145,145,0
2014-12-12,206,203,3
2014-12-13,231,231,0
2014-12-14,84,84,0
2014-12-15,345,341,4
2014-12-16,284,282,2
2014-12-17,319,317,2
2014-12-18,285,284,1
2014-12-19,414,413,1
2014-12-20,413,410,3
2014-12-21,248,247,1
2014-12-22,776,770,6
2014-12-23,183,183,0
2014-12-24,789,786,3
2014-12-25,486,484,2
2014-12-26,628,623,5
2014-12-27,540,536,4
2014-12-28,334,332,2
2014-12-29,683,679,4
2014-12-30,397,395,2
2014-12-31,395,395,0
2015-01-01,313,310,3
2015-01-02,311,307,4
2015-01-03,298,294,4
2015-01-04,302,299,3
2015-01-05,713,710,3
2015-01-06,548,542,6
2015-01-07,525,522,3
2015-01-08,472,465,7
2015-01-09,478,473,5
2015-01-10,375,369,6
2015-01-11,248,247,1
2015-01-12,155,153,2
2015-01-13,642,634,8
2015-01-14,410,407,3
2015-01-15,342,338,4
2015-01-16,446,442,4
2015-01-17,377,369,8
2015-01-18,166,160,6
2015-01-19,589,577,12
2015-01-20,363,360,3
2015-01-21,316,312,4
2015-01-22,312,308,4
2015-01-23,378,375,3
2015-01-24,324,319,5
2015-01-25,198,196,2
2015-01-26,529,518,11
2015-01-27,337,332,5
2015-01-28,270,265,5
2015-01-29,225,222,3
2015-01-30,203,199,4
2015-01-31,181,176,5
2015-02-01,86,85,1
2015-02-02,344,334,10
2015-02-03,178,168,10
2015-02-04,178,168,10
2015-02-05,114,111,3
2015-02-06,181,172,9
2015-02-07,134,126,8
2015-02-08,73,71,2
2015-02-09,216,202,14
2015-02-10,176,161,15
2015-02-11,46,45,1
2015-02-12,136,124,12
2015-02-13,94,88,6
2015-02-14,83,78,5
2015-02-15,66,56,10
2015-02-16,135,117,18
2015-02-17,70,64,6
2015-02-18,60,51,9
2015-02-19,53,46,7
2015-02-20,64,52,12
2015-02-21,54,47,7
2015-02-22,36,31,5
2015-02-23,85,68,17
2015-02-24,61,46,15
2015-02-25,62,49,13
2015-02-26,32,22,10
2015-02-27,55,45,10
2015-02-28,46,40,6
2015-03-01,27,23,4
2015-03-02,59,48,11
2015-03-03,43,28,15
2015-03-04,57,39,18
2015-03-05,46,36,10
2015-03-06,40,26,14
2015-03-07,26,14,12
2015-03-08,21,13,8
2015-03-09,65,32,33
2015-03-10,41,21,20
2015-03-11,43,18,25
2015-03-12,15,9,6
2015-03-13,53,17,36
2015-03-14,30,13,17
2015-03-15,19,8,11
2015-03-16,62,35,27
2015-03-17,50,23,27
2015-03-18,35,9,26
2015-03-19,42,12,30
2015-03-20,41,15,26
2015-03-21,14,2,12
2015-03-22,16,4,12
2015-03-23,36,8,28
2015-03-24,29,7,22
2015-03-25,23,4,19
2015-03-26,18,2,16
2015-03-27,32,9,23
2015-03-28,17,4,13
2015-03-29,11,3,8
2015-03-30,38,7,31
2015-03-31,26,5,21
2015-04-01,40,7,33
2015-04-02,8,2,6
2015-04-03,18,5,13
2015-04-04,18,5,13
2015-04-05,11,4,7
2015-04-06,31,8,23
2015-04-07,14,4,10
2015-04-08,10,1,9
2015-04-09,12,1,11
2015-04-10,24,2,22
2015-04-11,20,2,18
2015-04-12,10,1,9
2015-04-13,50,1,49
2015-04-14,24,2,22
2015-04-15,27,3,24
2015-04-16,29,4,25
2015-04-17,26,1,25
2015-04-18,23,0,23
2015-04-19,8,0,8
2015-04-20,31,3,28
2015-04-21,38,3,35
2015-04-22,22,2,20
2015-04-23,14,4,10
2015-04-24,13,0,13
2015-04-25,16,2,14
2015-04-26,8,0,8
2015-04-27,26,5,21
2015-04-28,17,1,16
2015-04-29,5,0,5
2015-04-30,6,0,6
2015-05-01,9,2,7
2015-05-02,5,0,5
2015-05-03,3,0,3
2015-05-04,2,1,1
2015-05-05,7,2,5
2015-05-06,3,1,2
2015-05-07,9,1,8
2015-05-08,4,1,3
2015-05-09,4,1,3
2015-05-10,1,1,0
2015-05-11,2,1,1
2015-05-12,2,0,2
2015-05-13,2,1,1
2015-05-14,3,1,2
2015-05-15,1,0,1
2015-05-16,2,0,2
2015-05-17,1,0,1
2015-05-18,3,0,3
2015-05-19,1,0,1
2015-05-20,4,3,1
2015-05-21,1,0,1
2015-05-22,5,2,3
2015-05-23,0,0,0
2015-05-24,0,0,0
2015-05-25,2,2,0
2015-05-26,0,0,0
2015-05-27,2,0,2
2015-05-28,3,1,2
2015-05-29,0,0,0
2015-05-30,0,0,0
2015-05-31,0,0,0
2015-06-01,2,0,2
2015-06-02,1,0,1
2015-06-03,0,0,0
2015-06-04,0,0,0
2015-06-05,0,0,0
2015-06-06,0,0,0
2015-06-07,0,0,0
2015-06-08,0,0,0
2015-06-09,0,0,0
2015-06-10,0,0,0
2015-06-11,0,0,0
2015-06-12,0,0,0
2015-06-13,0,0,0
2015-06-14,2,1,1
2015-06-15,4,1,3
2015-06-16,1,0,1
2015-06-17,1,1,0
2015-06-18,1,0,1
2015-06-19,3,2,1
2015-06-20,0,0,0
2015-06-21,1,1,0
2015-06-22,4,4,0
2015-06-23,3,2,1
2015-06-24,1,1,0
2015-06-25,1,1,0
2015-06-26,0,0,0
2015-06-27,0,0,0
2015-06-28,1,0,1
2015-06-29,2,1,1
2015-06-30,0,0,0
2015-07-01,2,0,2
2015-07-02,0,0,0
2015-07-03,0,0,0
2015-07-04,1,1,0
2015-07-05,0,0,0
2015-07-06,0,0,0
2015-07-07,0,0,0
2015-07-08,0,0,0
2015-07-09,0,0,0
2015-07-10,0,0,0
2015-07-11,0,0,0
2015-07-12,0,0,0
2015-07-13,2,2,0
2015-07-14,1,0,1
2015-07-15,2,2,0
2015-07-16,0,0,0
2015-07-17,1,0,1
2015-07-18,0,0,0
2015-07-19,0,0,0
2015-07-20,0,0,0
2015-07-21,1,1,0
2015-07-22,2,2,0
2015-07-23,0,0,0
2015-07-24,1,0,1
2015-07-25,1,0,1
2015-07-26,0,0,0
2015-07-27,0,0,0
2015-07-28,0,0,0
2015-07-29,2,2,0
2015-07-30,0,0,0
2015-07-31,0,0,0
2015-08-01,0,0,0
2015-08-02,0,0,0
2015-08-03,0,0,0
2015-08-04,0,0,0
2015-08-05,0,0,0
2015-08-06,2,2,0
2015-08-07,0,0,0
2015-08-08,0,0,0
2015-08-09,0,0,0
2015-08-10,1,0,1
2015-08-11,2,2,0
2015-08-12,0,0,0
2015-08-13,4,3,1
2015-08-14,0,0,0
2015-08-15,0,0,0
2015-08-16,0,0,0
2015-08-17,1,0,1
2015-08-18,0,0,0
2015-08-19,0,0,0
2015-08-20,0,0,0
2015-08-21,1,1,0
2015-08-22,0,0,0
2015-08-23,0,0,0
2015-08-24,0,0,0
2015-08-25,0,0,0
2015-08-26,0,0,0
2015-08-27,1,1,0
2015-08-28,0,0,0
2015-08-29,1,1,0
2015-08-30,0,0,0
2015-08-31,1,0,1
2015-09-01,1,1,0
2015-09-02,0,0,0
2015-09-03,0,0,0
2015-09-04,0,0,0
2015-09-05,0,0,0
2015-09-06,0,0,0
2015-09-07,0,0,0
2015-09-08,0,0,0
2015-09-09,1,1,0
2015-09-10,0,0,0
2015-09-11,1,1,0
2015-09-12,0,0,0
2015-09-13,0,0,0
2015-09-14,0,0,0
2015-09-15,0,0,0
2015-09-16,0,0,0
2015-09-17,0,0,0
2015-09-18,0,0,0
2015-09-19,0,0,0
2015-09-20,0,0,0
2015-09-21,0,0,0
2015-09-22,0,0,0
2015-09-23,0,0,0
2015-09-24,1,1,0
2015-09-25,0,0,0
2015-09-26,0,0,0
2015-09-27,0,0,0
2015-09-28,0,0,0
2015-09-29,0,0,0
2015-09-30,0,0,0
2015-10-01,0,0,0
2015-10-02,3,3,0
2015-10-03,0,0,0
2015-10-04,2,2,0
2015-10-05,0,0,0
2015-10-06,1,1,0
2015-10-07,0,0,0
2015-10-08,0,0,0
2015-10-09,1,1,0
2015-10-10,1,0,1
2015-10-11,1,1,0
2015-10-12,0,0,0
2015-10-13,2,2,0
2015-10-14,0,0,0
2015-10-15,2,1,1
2015-10-16,2,1,1
2015-10-17,0,0,0
2015-10-18,1,0,1
2015-10-19,2,2,0
2015-10-20,0,0,0
2015-10-21,3,3,0
2015-10-22,1,1,0
2015-10-23,0,0,0
2015-10-24,1,1,0
2015-10-25,2,2,0
2015-10-26,2,1,1
2015-10-27,2,2,0
2015-10-28,1,1,0
2015-10-29,0,0,0
2015-10-30,1,1,0
2015-10-31,2,2,0
2015-11-01,1,1,0
2015-11-02,3,3,0
2015-11-03,0,0,0
2015-11-04,2,2,0
2015-11-05,1,1,0
2015-11-06,3,3,0
2015-11-07,5,4,1
2015-11-08,5,4,1
2015-11-09,3,2,1
2015-11-10,3,2,1
2015-11-11,2,2,0
2015-11-12,3,3,0
2015-11-13,7,6,1
2015-11-14,1,1,0
2015-11-15,2,2,0
2015-11-16,3,3,0
2015-11-17,3,2,1
2015-11-18,0,0,0
2015-11-19,0,0,0
2015-11-20,1,1,0
2015-11-21,2,2,0
2015-11-22,1,1,0
2015-11-23,3,3,0
2015-11-24,7,6,1
2015-11-25,2,2,0
2015-11-26,2,2,0
2015-11-27,2,1,1
2015-11-28,1,1,0
2015-11-29,0,0,0
2015-11-30,5,5,0
2015-12-01,3,3,0
2015-12-02,1,1,0
2015-12-03,3,2,1
2015-12-04,4,4,0
2015-12-05,1,1,0
2015-12-06,3,2,1
2015-12-07,19,10,9
2015-12-08,12,9,3
2015-12-09,11,2,9
2015-12-10,8,7,1
2015-12-11,15,10,5
2015-12-12,18,12,6
2015-12-13,7,6,1
2015-12-14,22,19,3
2015-12-15,17,12,5
2015-12-16,16,15,1
2015-12-17,15,15,0
2015-12-18,19,18,1
2015-12-19,10,9,1
2015-12-20,10,9,1
2015-12-21,35,26,9
2015-12-22,26,26,0
2015-12-23,6,5,1
2015-12-24,33,29,4
2015-12-25,31,25,6
2015-12-26,22,20,2
2015-12-27,16,15,1
2015-12-28,39,27,12
2015-12-29,29,26,3
2015-12-30,12,8,4
2015-12-31,16,14,2
2016-01-01,16,12,4
2016-01-02,14,11,3
2016-01-03,17,13,4
2016-01-04,49,36,13
2016-01-05,43,33,10
2016-01-06,40,20,20
2016-01-07,37,31,6
2016-01-08,53,45,8
2016-01-09,45,34,11
2016-01-10,33,28,5
2016-01-11,29,23,6
2016-01-12,106,86,20
2016-01-13,73,56,17
2016-01-14,75,57,18
2016-01-15,79,55,24
2016-01-16,127,91,36
2016-01-17,65,55,10
2016-01-18,212,164,48
2016-01-19,222,178,44
2016-01-20,186,131,55
2016-01-21,192,153,39
2016-01-22,293,234,59
2016-01-23,259,212,47
2016-01-24,184,156,28
2016-01-25,661,519,142
2016-01-26,456,345,111
2016-01-27,422,314,108
2016-01-28,459,366,93
2016-01-29,567,442,125
2016-01-30,555,430,125
2016-01-31,308,244,64
2016-02-01,1056,793,263
2016-02-02,711,526,185
2016-02-03,621,480,141
2016-02-04,617,469,148
2016-02-05,744,549,195
2016-02-06,672,496,176
2016-02-07,374,305,69
2016-02-08,1084,791,293
2016-02-09,736,534,202
2016-02-10,681,476,205
2016-02-11,162,116,46
2016-02-12,777,524,253
2016-02-13,576,398,178
2016-02-14,272,173,99
2016-02-15,887,541,346
2016-02-16,553,340,213
2016-02-17,430,252,178
2016-02-18,382,185,197
2016-02-19,425,211,214
2016-02-20,366,203,163
2016-02-21,159,87,72
2016-02-22,595,297,298
2016-02-23,372,182,190
2016-02-24,360,164,196
2016-02-25,287,124,163
2016-02-26,359,166,193
2016-02-27,269,115,154
2016-02-28,184,81,103
2016-02-29,578,243,335
2016-03-01,353,128,225
2016-03-02,309,103,206
2016-03-03,284,92,192
2016-03-04,325,105,220
2016-03-05,233,79,154
2016-03-06,156,58,98
2016-03-07,455,114,341
2016-03-08,275,52,223
2016-03-09,261,46,215
2016-03-10,182,34,148
2016-03-11,201,38,163
2016-03-12,138,25,113
2016-03-13,70,10,60
2016-03-14,227,41,186
2016-03-15,163,38,125
2016-03-16,169,30,139
2016-03-17,165,35,130
2016-03-18,161,44,117
2016-03-19,138,28,110
2016-03-20,113,23,90
2016-03-21,61,7,54
2016-03-22,251,52,199
2016-03-23,135,21,114
2016-03-24,109,26,83
2016-03-25,100,12,88
2016-03-26,92,16,76
2016-03-27,63,12,51
2016-03-28,152,19,133
2016-03-29,116,21,95
2016-03-30,112,12,100
2016-03-31,86,11,75
2016-04-01,90,19,71
2016-04-02,69,10,59
2016-04-03,41,9,32
2016-04-04,136,18,118
2016-04-05,63,14,49
2016-04-06,68,5,63
2016-04-07,54,7,47
2016-04-08,46,3,43
2016-04-09,47,11,36
2016-04-10,25,2,23
2016-04-11,51,13,38
2016-04-12,41,7,34
2016-04-13,55,3,52
2016-04-14,30,8,22
2016-04-15,41,8,33
2016-04-16,26,1,25
2016-04-17,17,3,14
2016-04-18,63,10,53
2016-04-19,55,6,49
2016-04-20,34,3,31
2016-04-21,33,7,26
2016-04-22,31,5,26
2016-04-23,22,0,22
2016-04-24,9,0,9
2016-04-25,29,4,25
2016-04-26,31,3,28
2016-04-27,16,1,15
2016-04-28,8,2,6
2016-04-29,3,0,3
2016-04-30,12,2,10
2016-05-01,4,0,4
2016-05-02,18,1,17
2016-05-03,10,2,8
2016-05-04,5,4,1
2016-05-05,6,3,3
2016-05-06,11,2,9
2016-05-07,4,2,2
2016-05-08,2,0,2
2016-05-09,5,1,4
2016-05-10,3,0,3
2016-05-11,4,1,3
2016-05-12,3,0,3
2016-05-13,1,0,1
2016-05-14,1,0,1
2016-05-15,0,0,0
2016-05-16,0,0,0
2016-05-17,3,0,3
2016-05-18,1,0,1
2016-05-19,2,0,2
2016-05-20,2,0,2
2016-05-21,0,0,0
2016-05-22,3,1,2
2016-05-23,3,1,2
2016-05-24,2,1,1
2016-05-25,1,0,1
2016-05-26,2,1,1
2016-05-27,1,1,0
2016-05-28,1,0,1
2016-05-29,5,3,2
2016-05-30,1,0,1
2016-05-31,4,1,3
2016-06-01,1,0,1
2016-06-02,0,0,0
2016-06-03,0,0,0
2016-06-04,0,0,0
2016-06-05,2,1,1
2016-06-06,1,1,0
2016-06-07,0,0,0
2016-06-08,0,0,0
2016-06-09,1,1,0
2016-06-10,0,0,0
2016-06-11,0,0,0
2016-06-12,0,0,0
2016-06-13,0,0,0
2016-06-14,0,0,0
2016-06-15,0,0,0
2016-06-16,0,0,0
2016-06-17,0,0,0
2016-06-18,0,0,0
2016-06-19,0,0,0
2016-06-20,0,0,0
2016-06-21,0,0,0
2016-06-22,0,0,0
2016-06-23,0,0,0
2016-06-24,0,0,0
2016-06-25,0,0,0
2016-06-26,0,0,0
2016-06-27,0,0,0
2016-06-28,0,0,0
2016-06-29,0,0,0
2016-06-30,0,0,0
2016-07-01,1,1,0
2016-07-02,0,0,0
2016-07-03,0,0,0
2016-07-04,0,0,0
2016-07-05,0,0,0
2016-07-06,0,0,0
2016-07-07,1,1,0
2016-07-08,0,0,0
2016-07-09,0,0,0
2016-07-10,0,0,0
2016-07-11,1,1,0
2016-07-12,0,0,0
2016-07-13,0,0,0
2016-07-14,1,1,0
2016-07-15,0,0,0
2016-07-16,1,1,0
2016-07-17,0,0,0
2016-07-18,0,0,0
2016-07-19,0,0,0
2016-07-20,0,0,0
2016-07-21,0,0,0
2016-07-22,1,1,0
2016-07-23,0,0,0
2016-07-24,0,0,0
2016-07-25,0,0,0
2016-07-26,0,0,0
2016-07-27,0,0,0
2016-07-28,0,0,0
2016-07-29,2,2,0
2016-07-30,0,0,0
2016-07-31,0,0,0
2016-08-01,0,0,0
2016-08-02,0,0,0
2016-08-03,0,0,0
2016-08-04,0,0,0
2016-08-05,0,0,0
2016-08-06,0,0,0
2016-08-07,0,0,0
2016-08-08,0,0,0
2016-08-09,0,0,0
2016-08-10,1,1,0
2016-08-11,0,0,0
2016-08-12,2,2,0
2016-08-13,0,0,0
2016-08-14,1,1,0
2016-08-15,2,1,1
2016-08-16,0,0,0
2016-08-17,0,0,0
2016-08-18,2,2,0
2016-08-19,1,0,1
2016-08-20,0,0,0
2016-08-21,0,0,0
2016-08-22,1,1,0
2016-08-23,0,0,0
2016-08-24,1,1,0
2016-08-25,0,0,0
2016-08-26,0,0,0
2016-08-27,1,1,0
2016-08-28,0,0,0
2016-08-29,0,0,0
2016-08-30,1,1,0
2016-08-31,0,0,0
2016-09-01,4,4,0
2016-09-02,4,4,0
2016-09-03,7,7,0
2016-09-04,0,0,0
2016-09-05,1,1,0
2016-09-06,2,2,0
2016-09-07,0,0,0
2016-09-08,2,2,0
2016-09-09,3,3,0
2016-09-10,6,6,0
2016-09-11,3,3,0
2016-09-12,3,3,0
2016-09-13,4,4,0
2016-09-14,4,4,0
2016-09-15,3,3,0
2016-09-16,6,6,0
2016-09-17,4,4,0
2016-09-18,2,2,0
2016-09-19,3,3,0
2016-09-20,2,1,1
2016-09-21,4,4,0
2016-09-22,0,0,0
2016-09-23,5,3,2
2016-09-24,1,1,0
2016-09-25,1,1,0
2016-09-26,8,8,0
2016-09-27,3,3,0
2016-09-28,3,3,0
2016-09-29,4,4,0
2016-09-30,2,2,0
2016-10-01,1,1,0
2016-10-02,2,2,0
2016-10-03,2,2,0
2016-10-04,1,1,0
2016-10-05,2,2,0
2016-10-06,2,1,1
2016-10-07,5,4,1
2016-10-08,4,3,1
2016-10-09,1,1,0
2016-10-10,3,3,0
2016-10-11,3,3,0
2016-10-12,4,4,0
2016-10-13,2,2,0
2016-10-14,2,2,0
2016-10-15,5,5,0
2016-10-16,0,0,0
2016-10-17,5,5,0
2016-10-18,3,3,0
2016-10-19,6,6,0
2016-10-20,8,6,2
2016-10-21,8,8,0
2016-10-22,2,2,0
2016-10-23,7,7,0
2016-10-24,8,8,0
2016-10-25,4,4,0
2016-10-26,4,4,0
2016-10-27,3,3,0
2016-10-28,13,12,1
2016-10-29,5,5,0
2016-10-30,3,3,0
2016-10-31,9,9,0
2016-11-01,8,7,1
2016-11-02,11,10,1
2016-11-03,5,5,0
2016-11-04,15,15,0
2016-11-05,7,7,0
2016-11-06,4,4,0
2016-11-07,15,15,0
2016-11-08,11,10,1
2016-11-09,9,9,0
2016-11-10,11,11,0
2016-11-11,7,7,0
2016-11-12,11,11,0
2016-11-13,8,8,0
2016-11-14,29,27,2
2016-11-15,16,16,0
2016-11-16,11,11,0
2016-11-17,14,14,0
2016-11-18,18,18,0
2016-11-19,13,13,0
2016-11-20,14,14,0
2016-11-21,21,21,0
2016-11-22,18,18,0
2016-11-23,8,7,1
2016-11-24,19,19,0
2016-11-25,25,25,0
2016-11-26,18,18,0
2016-11-27,20,20,0
2016-11-28,39,38,1
2016-11-29,40,40,0
2016-11-30,28,27,1
2016-12-01,32,32,0
2016-12-02,50,50,0
2016-12-03,48,47,1
2016-12-04,47,47,0
2016-12-05,80,80,0
2016-12-06,59,58,1
2016-12-07,65,65,0
2016-12-08,52,52,0
2016-12-09,57,57,0
2016-12-10,58,56,2
2016-12-11,35,34,1
2016-12-12,106,101,5
2016-12-13,83,81,2
2016-12-14,89,87,2
2016-12-15,103,101,2
2016-12-16,138,135,3
2016-12-17,100,100,0
2016-12-18,77,77,0
2016-12-19,267,264,3
2016-12-20,223,220,3
2016-12-21,187,183,4
2016-12-22,263,260,3
2016-12-23,112,112,0
2016-12-24,248,246,2
2016-12-25,115,115,0
2016-12-26,349,345,4
2016-12-27,237,235,2
2016-12-28,230,226,4
2016-12-29,246,242,4
2016-12-30,143,142,1
2016-12-31,194,193,1
2017-01-01,163,162,1
2017-01-02,223,220,3
2017-01-03,198,195,3
2017-01-04,417,406,11
2017-01-05,363,358,5
2017-01-06,303,298,5
2017-01-07,252,249,3
2017-01-08,204,199,5
2017-01-09,148,145,3
2017-01-10,445,438,7
2017-01-11,325,313,12
2017-01-12,312,298,14
2017-01-13,341,332,9
2017-01-14,262,255,7
2017-01-15,191,185,6
2017-01-16,553,540,13
2017-01-17,386,371,15
2017-01-18,449,431,18
2017-01-19,548,523,25
2017-01-20,593,560,33
2017-01-21,500,483,17
2017-01-22,290,279,11
2017-01-23,955,910,45
2017-01-24,702,660,42
2017-01-25,565,542,23
2017-01-26,624,583,41
2017-01-27,637,607,30
2017-01-28,642,607,35
2017-01-29,352,332,20
2017-01-30,1046,975,71
2017-01-31,640,607,33
2017-02-01,533,496,37
2017-02-02,489,459,30
2017-02-03,528,492,36
2017-02-04,449,417,32
2017-02-05,215,203,12
